Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,CO2 emissions (g/km),CO2 rating,Smog rating,fuel_efficiency_score,engine_displacement_per_cylinder,estimated_weight,power_to_weight_ratio,city_highway_diff,engine_efficiency,cylinder_efficiency
2017,Dodge,Charger AWD FFV,Full-size,3.6,6,A8,X,258,4.0,6.0,9.090909090909092,0.6,1296.0,0.002777777777777778,4.100000000000001,71.66666666666667,43.0
2017,Dodge,Charger AWD FFV,Full-size,3.6,6,A8,E,248,5.0,6.0,6.666666666666667,0.6,1296.0,0.002777777777777778,5.600000000000001,68.88888888888889,41.333333333333336
2017,Dodge,Charger AWD,Full-size,5.7,8,A5,X,312,3.0,6.0,7.518796992481203,0.7125,2052.0,0.002777777777777778,5.9,54.73684210526316,39.0
2017,Dodge,Durango AWD,Sport utility vehicle: Standard,3.6,6,A8,X,265,4.0,6.0,8.849557522123893,0.6,1080.0,0.0033333333333333335,3.0999999999999996,73.61111111111111,44.166666666666664
2017,Dodge,Durango AWD,Sport utility vehicle: Standard,5.7,8,A8,X,328,3.0,6.0,7.142857142857143,0.7125,1710.0,0.0033333333333333335,5.900000000000002,57.54385964912281,41.0
2017,Dodge,Grand Caravan FFV,Minivan,3.6,6,A6,X,276,4.0,6.0,8.47457627118644,0.6,1404.0,0.002564102564102564,4.299999999999999,76.66666666666667,46.0
2017,Dodge,Grand Caravan FFV,Minivan,3.6,6,A6,E,274,4.0,6.0,5.9880239520958085,0.6,1404.0,0.002564102564102564,6.099999999999998,76.11111111111111,45.666666666666664
2017,Dodge,Journey,Sport utility vehicle: Small,2.4,4,A4,X,261,4.0,6.0,9.00900900900901,0.6,720.0,0.003333333333333333,3.5,108.75,65.25
2017,Dodge,Journey FFV,Sport utility vehicle: Small,3.6,6,A6,X,284,4.0,6.0,8.264462809917356,0.6,1080.0,0.0033333333333333335,4.699999999999999,78.88888888888889,47.333333333333336
2017,Dodge,Journey FFV,Sport utility vehicle: Small,3.6,6,A6,E,274,4.0,6.0,6.097560975609756,0.6,1080.0,0.0033333333333333335,5.900000000000002,76.11111111111111,45.666666666666664
2017,Dodge,Journey AWD,Sport utility vehicle: Small,3.6,6,A6,X,292,4.0,6.0,8.064516129032258,0.6,1080.0,0.0033333333333333335,4.5,81.11111111111111,48.666666666666664
2017,FIAT,500 Abarth Cabrio,Minicompact,1.4,4,A6,X,202,6.0,6.0,11.49425287356322,0.35,201.6,0.006944444444444444,2.299999999999999,144.2857142857143,50.5
2017,FIAT,500 Abarth Hatchback,Minicompact,1.4,4,A6,X,202,6.0,6.0,11.49425287356322,0.35,201.6,0.006944444444444444,2.299999999999999,144.2857142857143,50.5
2017,FIAT,500L,Station wagon: Small,1.4,4,A6,X,221,5.0,6.0,10.638297872340425,0.35,462.00000000000006,0.00303030303030303,2.799999999999999,157.85714285714286,55.25
2017,FIAT,500X,Sport utility vehicle: Small,1.4,4,M6,X,197,6.0,6.0,11.904761904761905,0.35,420.0,0.003333333333333333,2.4000000000000004,140.71428571428572,49.25
2017,FIAT,500X,Sport utility vehicle: Small,2.4,4,A9,X,219,5.0,6.0,10.75268817204301,0.6,720.0,0.003333333333333333,2.999999999999999,91.25,54.75
2017,FIAT,500X AWD,Sport utility vehicle: Small,2.4,4,A9,X,226,5.0,6.0,10.309278350515465,0.6,720.0,0.003333333333333333,3.0,94.16666666666667,56.5
2017,Ford,Edge,Sport utility vehicle: Small,2.0,4,AS6,X,233,5.0,7.0,10.1010101010101,0.5,600.0,0.0033333333333333335,3.5,116.5,58.25
2017,Ford,Edge (Start/Stop),Sport utility vehicle: Small,2.0,4,AS6,X,230,5.0,7.0,10.204081632653061,0.5,600.0,0.0033333333333333335,3.3000000000000007,115.0,57.5
2017,Ford,Edge,Sport utility vehicle: Small,3.5,6,AS6,X,270,4.0,6.0,8.695652173913043,0.5833333333333334,1050.0,0.0033333333333333335,4.4,77.14285714285714,45.0
2017,Ford,Edge AWD,Sport utility vehicle: Small,2.0,4,AS6,X,244,5.0,7.0,9.615384615384615,0.5,600.0,0.0033333333333333335,3.3000000000000007,122.0,61.0
2017,Ford,Edge AWD,Sport utility vehicle: Small,2.7,6,AS6,X,281,4.0,7.0,8.333333333333334,0.45,810.0,0.0033333333333333335,4.0,104.07407407407406,46.833333333333336
2017,Ford,Edge AWD,Sport utility vehicle: Small,3.5,6,AS6,X,284,4.0,6.0,8.264462809917356,0.5833333333333334,1050.0,0.0033333333333333335,3.9000000000000004,81.14285714285714,47.333333333333336
2017,Ford,Escape,Sport utility vehicle: Small,1.5,4,AS6,X,214,6.0,6.0,10.989010989010989,0.375,450.0,0.0033333333333333335,2.3999999999999995,142.66666666666666,53.5
2017,Ford,Escape,Sport utility vehicle: Small,2.0,4,AS6,X,222,5.0,7.0,10.526315789473685,0.5,600.0,0.0033333333333333335,2.5999999999999996,111.0,55.5
2017,Ford,Escape FFV,Sport utility vehicle: Small,2.5,4,AS6,X,229,5.0,6.0,10.309278350515465,0.625,750.0,0.0033333333333333335,3.0,91.6,57.25
2017,Ford,Escape FFV,Sport utility vehicle: Small,2.5,4,AS6,E,219,5.0,6.0,7.518796992481203,0.625,750.0,0.0033333333333333335,4.399999999999999,87.6,54.75
2017,Ford,Escape AWD,Sport utility vehicle: Small,1.5,4,AS6,X,226,5.0,6.0,10.416666666666668,0.375,450.0,0.0033333333333333335,2.3999999999999986,150.66666666666666,56.5
2017,Ford,Escape AWD,Sport utility vehicle: Small,2.0,4,AS6,X,239,5.0,7.0,9.803921568627452,0.5,600.0,0.0033333333333333335,2.8000000000000007,119.5,59.75
2017,Ford,Expedition 4X4,Sport utility vehicle: Standard,3.5,6,AS6,X,333,3.0,5.0,7.042253521126761,0.5833333333333334,1050.0,0.0033333333333333335,3.9000000000000004,95.14285714285714,55.5
2017,Ford,Explorer,Sport utility vehicle: Standard,2.3,4,AS6,X,254,5.0,6.0,9.25925925925926,0.575,690.0,0.003333333333333333,4.0,110.43478260869566,63.5
2017,Ford,Explorer FFV,Sport utility vehicle: Standard,3.5,6,AS6,X,281,4.0,5.0,8.333333333333334,0.5833333333333334,1050.0,0.0033333333333333335,4.200000000000001,80.28571428571429,46.833333333333336
