Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2017,BMW,Alpina B7 xDrive,Full-size,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4.0,6.0
2017,BMW,M2,Subcompact,3.0,6,AM7,Z,11.8,8.9,10.5,27,245,5.0,6.0
2017,BMW,M2,Subcompact,3.0,6,M6,Z,13.1,9.2,11.4,25,267,4.0,6.0
2017,BMW,M240i Cabriolet,Subcompact,3.0,6,AS8,Z,11.1,7.8,9.6,29,224,5.0,6.0
2017,BMW,M240i Cabriolet,Subcompact,3.0,6,M6,Z,12.2,8.2,10.4,27,242,5.0,6.0
2017,BMW,M240i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,11.4,7.8,9.8,29,228,5.0,6.0
2017,BMW,M240i Coupe,Subcompact,3.0,6,AS8,Z,11.1,7.8,9.6,29,224,5.0,6.0
2017,BMW,M240i Coupe,Subcompact,3.0,6,M6,Z,12.5,8.4,10.7,26,250,5.0,6.0
2017,BMW,M240i xDrive Coupe,Subcompact,3.0,6,AS8,Z,11.4,7.8,9.8,29,228,5.0,6.0
2017,BMW,M3,Compact,3.0,6,AM7,Z,14.0,9.7,12.1,23,284,4.0,6.0
2017,BMW,M3,Compact,3.0,6,M6,Z,13.7,9.1,11.7,24,273,4.0,6.0
2017,BMW,M4 Cabriolet,Subcompact,3.0,6,AM7,Z,14.1,9.6,12.1,23,283,4.0,6.0
2017,BMW,M4 Cabriolet,Subcompact,3.0,6,M6,Z,13.7,9.1,11.7,24,273,4.0,6.0
2017,BMW,M4 Coupe,Compact,3.0,6,AM7,Z,14.0,9.7,12.1,23,284,4.0,6.0
2017,BMW,M4 Coupe,Compact,3.0,6,M6,Z,13.7,9.1,11.7,24,273,4.0,6.0
2017,BMW,M6,Compact,4.4,8,M6,Z,16.2,10.9,13.8,20,324,3.0,6.0
2017,BMW,M6 Cabriolet,Subcompact,4.4,8,M6,Z,16.2,10.9,13.8,20,324,3.0,6.0
2017,BMW,M6 Gran Coupe,Compact,4.4,8,M6,Z,16.2,10.9,13.8,20,324,3.0,6.0
2017,BMW,X1 xDrive28i,Sport utility vehicle: Small,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,6.0,8.0
2017,BMW,X3 xDrive28d,Sport utility vehicle: Small,2.0,4,AS8,D,8.7,7.1,8.0,35,211,6.0,6.0
2017,BMW,X3 xDrive28i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.1,8.5,10.0,28,233,5.0,6.0
2017,BMW,X3 xDrive35i,Sport utility vehicle: Small,3.0,6,AS8,Z,12.7,9.1,11.1,25,260,4.0,6.0
2017,BMW,X4 xDrive28i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.8,8.6,10.3,27,240,5.0,6.0
2017,BMW,X4 M40i,Sport utility vehicle: Small,3.0,6,AS8,Z,12.7,9.1,11.1,25,260,4.0,6.0
2017,BMW,X5 xDrive35d,Sport utility vehicle: Standard,3.0,6,AS8,D,10.3,8.0,9.3,30,249,5.0,6.0
2017,BMW,X5 xDrive35i,Sport utility vehicle: Standard,3.0,6,AS8,Z,13.0,9.8,11.5,25,270,4.0,6.0
2017,BMW,X5 xDrive50i,Sport utility vehicle: Standard,4.4,8,AS8,Z,15.6,11.3,13.7,21,320,3.0,6.0
2017,BMW,X6 xDrive35i,Sport utility vehicle: Standard,3.0,6,AS8,Z,13.0,9.8,11.5,25,270,4.0,6.0
2017,BMW,X6 xDrive50i,Sport utility vehicle: Standard,4.4,8,AS8,Z,15.6,11.3,13.7,21,320,3.0,6.0
2017,Buick,Enclave,Sport utility vehicle: Standard,3.6,6,A6,X,15.7,10.6,13.4,21,315,3.0,5.0
2017,Buick,Enclave AWD,Sport utility vehicle: Standard,3.6,6,A6,X,16.0,10.9,13.7,21,322,3.0,5.0
2017,Buick,Encore AWD (LE2 Engine),Sport utility vehicle: Small,1.4,4,AS6,X,8.9,7.6,8.3,34,196,6.0,6.0
2017,Buick,Encore AWD (LUV Engine),Sport utility vehicle: Small,1.4,4,AS6,X,9.8,7.7,8.8,32,208,6.0,6.0
2017,Buick,Envision AWD,Sport utility vehicle: Small,2.0,4,A6,Z,11.8,9.1,10.6,27,248,5.0,6.0
2017,Buick,Envision AWD,Sport utility vehicle: Small,2.5,4,A6,X,11.1,8.4,9.9,29,232,5.0,6.0
2017,Buick,LaCrosse,Mid-size,3.6,6,AS8,X,11.2,7.5,9.5,30,224,5.0,6.0
